title,rate,people,author
哲学研究,9.0,(1175人评价),作者:[英]路德维希·维特根斯坦
海伯利安的陨落,9.0,(1250人评价),作者:(美)丹·西蒙斯
海伯利安,9.2,(2450人评价),作者:(美)丹·西蒙斯
唐宋词十七讲,9.1,(1951人评价),作者:叶嘉莹
经济解释卷一：科学说需求（神州增订版）,9.0,(1083人评价),作者:张五常
管锥编（全五册）,9.3,(1066人评价),作者:钱钟书
罗生门,9.1,(1847人评价),作者:芥川龙之介
我与地坛,9.0,(17609人评价),作者:史铁生
這些人，那些事,9.0,(4098人评价),作者:吳念真
叔本华思想随笔,9.1,(1960人评价),作者:(德)亚瑟·叔本华
斯·茨威格中短篇小说选,9.1,(2274人评价),作者:斯·茨威格
毛姆短篇小说精选集,9.1,(5090人评价),作者:(英)威廉·萨默塞特·毛姆
阿勒泰的角落,9.1,(6530人评价),作者:李娟
四世同堂,9.3,(5312人评价),作者:老舍
基督山伯爵（上下册）,9.2,(8966人评价),作者:大仲马
卡尔维诺文集（第五卷）,9.0,(2947人评价),作者:[意大利]卡尔维诺
黄金时代白银时代,9.1,(2481人评价),作者:王小波
艺术的故事,9.6,(6811人评价),作者:[英]贡布里希(SirE.H.Gombrich)
项塔兰,9.0,(3834人评价),作者:[澳]格里高利·大卫·罗伯兹
李光耀观天下,9.1,(1222人评价),作者:李光耀
台北人,9.1,(2032人评价),作者:白先勇
