title,rate,people,author
易经,9.0,(1690人评价),出版社:吉林文史出版社
编程珠玑,9.1,(1827人评价),作者:JonBentley
宋词三百首,9.4,(2339人评价),作者:武玉成，顾丛龙注
战国策,9.1,(1352人评价),作者:宋韬
敏捷软件开发,9.0,(1240人评价),作者:RobertC.Martin
牡丹亭,9.0,(6080人评价),作者:汤显祖
宋词鉴赏辞典,9.4,(1619人评价),作者:夏承焘/等
长袜子皮皮,9.0,(5534人评价),作者:[瑞典]阿斯特丽德·林格伦
老子注译及评介,9.2,(1675人评价),作者:陈鼓应
中国古典园林分析,9.1,(1546人评价),作者:彭一刚
外部空间设计,9.0,(1476人评价),作者:芦原义信
四世同堂（上下）,9.0,(4271人评价),作者:老舍
莎士比亚全集（全8册）,9.4,(1451人评价),作者:[英]莎士比亚
津巴多普通心理学,9.3,(1419人评价),作者:[美]菲利普·津巴多/[美]罗伯特·约翰逊/[美]安·韦伯
HeadFirst设计模式（中文版）,9.2,(2448人评价),作者:弗里曼
天龙八部,9.1,(57175人评价),作者:金庸
古文观止,9.0,(10227人评价),作者:吴楚材/吴调侯
计算机程序的构造和解释,9.5,(1845人评价),作者:HaroldAbelson/GeraldJaySussman/JulieSussman
期货市场技术分析,9.1,(1805人评价),作者:[美]约翰.墨菲
聪明的投资者,9.0,(2684人评价),作者:本杰明·格雷厄姆/BenjaminGraham
穷查理宝典,9.0,(4780人评价),作者:[美]彼得·考夫曼(编)
冬牧场,9.0,(8621人评价),作者:李娟
蓝熊船长的13条半命,9.4,(1858人评价),作者:[德]瓦尔特·莫尔斯
万物既伟大又渺小,9.0,(4428人评价),作者:[英]吉米·哈利（JamesHerriot）
阿城精选集,9.1,(4057人评价),作者:阿城
金刚经心经坛经,9.2,(2271人评价),作者:陈秋平/尚荣
经济学,9.1,(1668人评价),作者:(美)保罗﹒萨缪尔森/（美）诺德豪斯
飞鸟集,9.1,(2097人评价),作者:泰戈尔
顾城的诗顾城的画,9.1,(4122人评价),作者:顾城
设计中的设计|全本,9.2,(6200人评价),作者:[日]原研哉
佛教的见地与修道,9.0,(2103人评价),作者:宗萨钦哲仁波切
上学记,9.0,(2274人评价),作者:何兆武（口述）/文靖
人生的智慧,9.3,(6777人评价),作者:[德]叔本华
金蔷薇,9.0,(2492人评价),作者:[俄]康·帕乌斯托夫斯基
张国荣的时光,9.0,(2308人评价),作者:志摩千岁
岁朝清供,9.2,(2985人评价),作者:汪曾祺
华夏意匠,9.2,(1957人评价),作者:李允鉌
万物刹那又永恒,9.1,(1723人评价),作者:[英]吉米·哈利
发现之旅,9.0,(3587人评价),作者:托尼•赖斯
論語譯註,9.0,(2272人评价),出版社:中华书局
中国文化要义,9.0,(2055人评价),作者:梁漱溟
野草,9.3,(4910人评价),作者:鲁迅
中国法律与中国社会,9.3,(1372人评价),作者:瞿同祖
庄子諵譁（上）,8.9,(2239人评价),作者:南怀瑾
古代汉语（第一册）,9.2,(2131人评价),作者:王力主编
返璞归真,9.2,(1742人评价),作者:C.S.路易斯
费马大定理,9.0,(1892人评价),作者:（英）西蒙・辛格
超越时空,9.0,(2915人评价),"作者:[美]加来道雄（Kaku,M）"
古詩源,9.3,(1527人评价),作者:[清]沈德潛
此生未完成,8.9,(11264人评价),作者:于娟
惶然录,9.0,(3026人评价),作者:[葡萄牙]费尔南多·佩索阿
蒋勋说红楼梦（第一辑）,9.0,(4547人评价),作者:蒋勋
大问题,9.0,(3264人评价),作者:[美]罗伯特·所罗门
阿莱夫,9.2,(1628人评价),作者:[阿根廷]豪·路·博尔赫斯
杀死一只反舌鸟,9.1,(3431人评价),作者:[美]哈珀·李
故事,9.3,(5038人评价),作者:[美]罗伯特·麦基
逻辑哲学论,9.1,(1680人评价),作者:[奥]维特根斯坦
纳尔齐斯与歌尔德蒙,9.2,(2571人评价),作者:[德]赫尔曼·黑塞
新千年文学备忘录,9.2,(1880人评价),作者:(意)伊塔洛·卡尔维诺
白鹿原,9.1,(5885人评价),作者:陈忠实
博尔赫斯全集,9.4,(1813人评价),作者:[阿根廷]豪·路·博尔赫斯
传奇(上下),9.1,(2651人评价),作者:张爱玲
人生的枷锁,9.0,(12293人评价),作者:[英]毛姆
神经外科的黑色喜剧,9.0,(1478人评价),作者:[美]法兰克·佛杜锡克著/吴程远译
采桑子,9.0,(2756人评价),作者:叶广芩
围城,9.0,(23285人评价),作者:钱钟书
写在人生边上写在人生边上的边上石语,9.0,(1992人评价),作者:钱钟书
人间是剧场,9.0,(2632人评价),作者:宗萨蒋扬钦哲仁波切
平如美棠,9.0,(10645人评价),作者:饶平如
悲惨世界（上下）,9.2,(2184人评价),作者:雨果
学术与政治,9.2,(1658人评价),作者:[德]马克斯·韦伯
心灵的焦灼,8.9,(2465人评价),作者:斯台芬·茨威格
论语新解,8.9,(1781人评价),作者:钱穆
虚构集,9.2,(2400人评价),作者:[阿根廷]豪·路·博尔赫斯
毛毛,9.1,(1238人评价),作者:米切尔・恩德
大明宫词,9.2,(2949人评价),作者:郑重/王要
联邦党人文集,9.0,(2018人评价),作者:汉密尔顿/杰伊/麦迪逊
锦灰堆,9.2,(1159人评价),作者:王世襄
来自民间的叛逆,9.3,(1249人评价),作者:袁越
上海生死劫,9.3,(369人评价),作者:郑念
古拉格群岛（上中下）,9.2,(1398人评价),作者:[俄]亚历山大·索尔仁尼琴
美国宪政历程,9.1,(4975人评价),作者:任东来/陈伟/白雪峰
洞穴奇案,9.1,(3388人评价),作者:[美]萨伯
哈尔罗杰历险记(全套共14册),9.8,(1519人评价),作者:WILLARDPRICE
深入理解计算机系统,9.5,(2530人评价),作者:RandalE.Bryant/DavidO'Hallaron
艺术的故事,9.5,(1928人评价),作者:[英]贡布里希(SirE.H.Gombrich)
冰与火之歌（卷三）,9.5,(10892人评价),作者:[美]乔治.R.R.马丁
牛津高阶英汉双解词典（第六版）,9.5,(1530人评价),作者:[英]A.S.Hornby原著/SallyWehmeier主编/MichaelAshby语音编辑
费恩曼物理学讲义（第1卷）,9.5,(1464人评价),作者:RichardP.Feynman/RobertB.Leighton/MatthewSands
滚蛋吧!肿瘤君,9.2,(13704人评价),作者:熊顿
红楼梦,9.6,(125345人评价),作者:[清]曹雪芹著/高鹗续
塔希里亚故事集,9.4,(3636人评价),作者:吴淼
百年孤独,9.2,(122164人评价),作者:[哥伦比亚]加西亚·马尔克斯
算法导论（原书第2版）,9.3,(4678人评价),作者:[美]ThomasH.Cormen/CharlesE.Leiserson/RonaldL.Rivest/CliffordStein
哥德尔、艾舍尔、巴赫,9.4,(4500人评价),作者:[美]侯世达
文学回忆录（全2册）,9.2,(18320人评价),作者:木心口述/陈丹青笔录
史记（全十册）,9.5,(12757人评价),作者:司马迁
道德经,9.5,(10538人评价),作者:老子
三体Ⅲ,9.2,(90643人评价),作者:刘慈欣
看见,8.8,(124094人评价),作者:柴静
冰与火之歌（卷二）,9.4,(12618人评价),作者:[美]乔治.R.R.马丁
鲁迅全集（2005最新修订版）,9.4,(3267人评价),作者:鲁迅
塔希里亚故事集Ⅱ,9.4,(1440人评价),作者:吴淼
浪潮之巅,9.1,(18215人评价),作者:吴军
诗经,9.4,(10897人评价),作者:孔丘编订
第二基地,9.3,(5860人评价),作者:[美]艾萨克·阿西莫夫
中国少年儿童百科全书（全四册）,9.4,(9216人评价),作者:林崇德主编
中國近代史（上冊）,9.4,(4126人评价),作者:[美]徐中約
唐诗三百首,9.3,(2613人评价),出版社:广西民族出版社
資治通鑑（全二十冊）,9.4,(3461人评价),作者:[宋]司馬光編著/[元]胡三省音注
基督山伯爵(上下),9.3,(2504人评价),作者:〔法〕大仲马著
风与树的歌,9.3,(2425人评价),作者:安房直子
寻找家园,9.3,(3918人评价),作者:高尔泰
冰与火之歌·卷四·群鸦的盛宴（全两册）,9.2,(8822人评价),作者:（美）乔治·R·R·马丁
我在伊朗长大,9.4,(4552人评价),作者:玛赞·莎塔碧
现代汉语词典（修订本）,9.3,(6395人评价),作者:中国社会科学院语言研究所词典编辑室编
庄子,9.4,(5088人评价),作者:孙通海译注
卡拉马佐夫兄弟,9.4,(7527人评价),作者:[俄]陀思妥耶夫斯基
C程序设计语言,9.4,(3872人评价),作者:（美）BrianW.Kernighan/（美）DennisM.Ritchie
卡尔维诺文集（第三卷）,9.3,(4087人评价),作者:[意大利]卡尔维诺
源泉,9.1,(5078人评价),作者:[美]安·兰德
冰与火之歌（卷一）,9.3,(23313人评价),作者:[美]乔治·R.R.马丁
我的团长我的团（下部）,9.4,(2543人评价),作者:兰晓龙
唐诗三百首,9.3,(9000人评价),作者:蘅塘退士/陈婉俊
南京浩劫,9.3,(1831人评价),作者:张纯如
王小波全集,9.4,(3947人评价),作者:王小波
猜猜我有多爱你,9.3,(9505人评价),作者:[英]山姆·麦克布雷尼文/安妮塔·婕朗图
基地,9.2,(10988人评价),作者:[美]艾萨克·阿西莫夫
银河英雄传说,9.3,(4841人评价),作者:[日]田中芳树
猫城小事,9.2,(1581人评价),作者:[日]莫莉蓟野
我在伊朗长大1,9.2,(2547人评价),作者:[伊朗]玛赞·莎塔碧
國史大綱（上下）,9.3,(9625人评价),作者:錢穆
乡土中国生育制度,9.3,(3468人评价),作者:费孝通
365夜故事（上下）,9.3,(8135人评价),作者:鲁兵主编/朱延龄插图
基地与帝国,9.2,(5945人评价),作者:[美]艾萨克·阿西莫夫
顾准文集,9.1,(2107人评价),作者:顾准
飘（全二册）,9.2,(8124人评价),作者:[美]米切尔
一九八四·动物农场,9.3,(24912人评价),作者:[英]乔治·奥威尔
飲水詞箋校,9.2,(1982人评价),作者:（清）纳兰性德/赵秀亭（笺校）/冯统一（笺校）
渴望生活,9.2,(7141人评价),作者:[美]欧文·斯通
随风而来的玛丽阿姨,9.3,(1549人评价),作者:（英）帕·林·特拉芙斯
霍乱时期的爱情,9.0,(65475人评价),作者:[哥伦比亚]加西亚·马尔克斯
月亮和六便士,9.2,(25305人评价),作者:[英]毛姆
从一到无穷大,9.1,(6278人评价),作者:[美]G.伽莫夫
论美国的民主,9.2,(4837人评价),作者:(法)托克维尔
旧制度与大革命,8.9,(5590人评价),作者:[法]托克维尔
全球通史(上),9.2,(10307人评价),作者:LeftenStavrosStavrianos
全球通史(下),9.2,(6956人评价),"作者:（美）斯塔夫里阿诺斯（Stavrianos,L.S.）"
上帝掷骰子吗,9.2,(13856人评价),作者:曹天元
给青年诗人的信,9.1,(2809人评价),作者:[奥]莱内·马利亚·里尔克
快乐王子,9.2,(6849人评价),作者:[英]王尔德
代码大全（第2版）,9.3,(3373人评价),作者:[美]史蒂夫·迈克康奈尔
C++Primer中文版（第4版）,9.2,(4137人评价),作者:StanleyB.Lippman/JoséeLaJoie/BarbaraE.Moo
三体Ⅱ,9.3,(91725人评价),作者:刘慈欣
爷爷变成了幽灵,9.3,(8230人评价),作者:[丹麦]金·弗珀兹·艾克松/文/[瑞典]爱娃·艾瑞克松/图
肖申克的救赎,9.1,(39162人评价),作者:[美]斯蒂芬·金
安徒生童话故事集,9.2,(35886人评价),作者:（丹麦）安徒生
平凡的世界（全三册）,9.2,(21676人评价),作者:路遥
撒哈拉的故事,9.2,(38959人评价),作者:三毛
飘,9.3,(79867人评价),作者:[美国]玛格丽特·米切尔
三国演义（全二册）,9.2,(55738人评价),作者:[明]罗贯中
王尔德童话,9.1,(11738人评价),作者:[英]王尔德
先知,9.1,(3278人评价),作者:卡里·纪伯伦
加缪文集,9.1,(1874人评价),作者:[法]阿尔贝·加缪
维特根斯坦传,9.1,(3670人评价),作者:[英]瑞·蒙克
新华字典（1998年修订本）,9.2,(6563人评价),作者:中国社会科学院语言研究所编
我的团长我的团（上部）,9.2,(3212人评价),作者:兰晓龙
社会性动物,9.1,(4718人评价),作者:ElliotAronson
公正,9.1,(4413人评价),作者:[美]迈克尔·桑德尔
设计模式,9.1,(2562人评价),作者:[美]ErichGamma/RichardHelm/RalphJohnson/JohnVlissides
人生的智慧,9.2,(2986人评价),作者:（德）叔本华
什么是数学,9.1,(3033人评价),作者:[美]R·柯朗H·罗宾著/I·斯图尔特修订
三国志（全五册）,9.3,(3575人评价),作者:[晋]陈寿撰/[宋]裴松之注
夹边沟记事,9.2,(14602人评价),作者:杨显惠
明朝那些事儿（1-9）,9.1,(37074人评价),作者:当年明月
昨日的世界,9.2,(6302人评价),作者:[奥］斯蒂芬・茨威格
唐诗鉴赏辞典,9.2,(3604人评价),作者:萧涤非/等
星空,9.0,(15241人评价),作者:幾米
博尔赫斯小说集,9.2,(7757人评价),作者:[阿根廷]博尔赫斯
江城,9.0,(23734人评价),作者:[美]彼得·海斯勒
海的女儿,9.1,(9338人评价),作者:安徒生
福尔摩斯探案全集（上中下）,9.2,(49120人评价),作者:[英]阿·柯南道尔
让爱点亮,9.0,(2673人评价),作者:慕容引刀
悉达多,9.0,(13078人评价),作者:[德]赫尔曼·黑塞
美国纽约摄影学院摄影教材（上）,9.1,(9187人评价),作者:美国纽约摄影学院
UNIX编程艺术,9.1,(2007人评价),作者:EricS.Raymond
追忆似水年华（上下册）,9.1,(2393人评价),作者:[法国]马塞尔·普鲁斯特
忧郁的热带,9.1,(2003人评价),作者:[法]列维-斯特劳斯
狂热分子,9.0,(6382人评价),作者:[美]埃里克·霍弗
中国历代政治得失,9.1,(23239人评价),作者:钱穆
营销管理,9.0,(1628人评价),作者:[美]菲利普·科特勒/[美]凯文·莱恩·凯勒
爱心树,9.1,(3132人评价),作者:谢尔・希尔弗斯坦
活着,9.1,(78536人评价),作者:余华
好妈妈胜过好老师,9.0,(6745人评价),作者:尹建莉
我在伊朗长大3,9.2,(1707人评价),作者:[伊朗]玛赞·莎塔碧
父与子全集,9.1,(16296人评价),作者:[德]埃·奥·卜劳恩绘
被爱路过,9.0,(5586人评价),作者:慕容引刀
子猫絮语,9.1,(2616人评价),作者:[日]莫莉蓟野
动物农场,9.2,(33157人评价),作者:[英]乔治·奥威尔
沉默的大多数,9.1,(42293人评价),作者:王小波
阿狸·梦之城堡,9.0,(23804人评价),作者:hans
活着,9.1,(138351人评价),作者:余华
小王子,9.0,(232436人评价),作者:[法]圣埃克苏佩里
白夜行,9.1,(200398人评价),作者:[日]东野圭吾
东方快车谋杀案,9.0,(39361人评价),作者:[英]阿加莎·克里斯蒂
傲慢与偏见,9.0,(25318人评价),作者:[英]奥斯丁
我的精神家园,9.1,(18443人评价),作者:王小波
历史深处的忧虑,9.0,(28178人评价),作者:林达
